AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Health,17
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Education,12
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,27
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,9
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",23
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,8
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,104
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Natural and Physical Sciences,56
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Information Technology,5
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Engineering and Related Technologies,10
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Architecture and Building,3
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Health,60
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Education,30
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Management and Commerce,53
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Society and Culture,72
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Creative Arts,55
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",24
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Field of study inadequately described,10
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Field of study not stated,11
20-24 years,Female,Maribyrnong,Tertiary - University or other higher education,Not applicable,684
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",13
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Health,23
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Education,3
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,27
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,12
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",25
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,5
20-24 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,153
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Natural and Physical Sciences,25
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Engineering and Related Technologies,5
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Architecture and Building,10
20-24 years,Female,Maroondah,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",10
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Health,84
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Education,24
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Management and Commerce,46
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Society and Culture,69
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Creative Arts,36
20-24 years,Female,Maroondah,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",9
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Field of study inadequately described,11
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Field of study not stated,5
20-24 years,Female,Maroondah,Tertiary - University or other higher education,Not applicable,706
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,9
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,7
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,21
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,6
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Health,33
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Education,22
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,153
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,54
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,61
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",118
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,5
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,15
20-24 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,316
20-24 years,Female,Melbourne,Tertiary - University or other higher education,Natural and Physical Sciences,680
