AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Field of study inadequately described,54,322732.229,5806822.716
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Field of study not stated,11,326833.171,5807980.639
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Not applicable,1401,329096.71,5809814.078
20-24 years,Female,Strathbogie,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,386809.888,5952251.376
20-24 years,Female,Strathbogie,Tertiary - Vocational education (including TAFE and private training providers),Health,5,381267.753,5930601.853
20-24 years,Female,Strathbogie,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,365927.636,5929121.636
20-24 years,Female,Strathbogie,Tertiary - University or other higher education,Health,4,361500.288,5905541.05
20-24 years,Female,Strathbogie,Tertiary - University or other higher education,Management and Commerce,3,340920.531,5925026.644
20-24 years,Female,Strathbogie,Tertiary - University or other higher education,Not applicable,10,356898.399,5952336.936
20-24 years,Female,Surf Coast,Tertiary - Vocational education (including TAFE and private training providers),Health,10,235684.173,5766486.336
20-24 years,Female,Surf Coast,Tertiary - Vocational education (including TAFE and private training providers),Education,3,269712.072,5758212.51
20-24 years,Female,Surf Coast,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6,229303.923,5747922.104
20-24 years,Female,Surf Coast,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,231903.142,5766486.336
20-24 years,Female,Surf Coast,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,5,245444.762,5754950.597
20-24 years,Female,Surf Coast,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,34,237466.78,5740913.366
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Natural and Physical Sciences,17,232638.801,5759565.226
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Health,16,246844.194,5747922.104
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Education,11,229435.769,5748040.198
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Management and Commerce,5,264514.902,5756416.535
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Society and Culture,22,250919.72,5756187.679
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Creative Arts,7,230666.602,5742706.043
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3,250150.381,5747922.104
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Field of study inadequately described,4,248218.256,5763483.219
20-24 years,Female,Surf Coast,Tertiary - University or other higher education,Not applicable,193,247616.091,5777168.389
20-24 years,Female,Swan Hill,Tertiary - Vocational education (including TAFE and private training providers),Health,5,162486.951,6143809.063
20-24 years,Female,Swan Hill,Tertiary - Vocational education (including TAFE and private training providers),Education,4,141796.968,6069434.318
20-24 years,Female,Swan Hill,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4,169288.653,6073609.833
20-24 years,Female,Swan Hill,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6,134106.542,6091435.877
20-24 years,Female,Swan Hill,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,39,183923.999,6106114.108
20-24 years,Female,Swan Hill,Tertiary - University or other higher education,Health,8,144071.441,6063879.802
20-24 years,Female,Swan Hill,Tertiary - University or other higher education,Education,6,145068.359,6102109.885
20-24 years,Female,Swan Hill,Tertiary - University or other higher education,Management and Commerce,4,138558.902,6101529.062
20-24 years,Female,Swan Hill,Tertiary - University or other higher education,Society and Culture,5,183923.999,6123429.86
20-24 years,Female,Swan Hill,Tertiary - University or other higher education,Not applicable,64,119541.779,6080036.081
20-24 years,Female,Towong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,576720.341,6003353.38
20-24 years,Female,Towong,Tertiary - University or other higher education,Not applicable,13,540881.959,6011815.201
20-24 years,Female,Wangaratta,Tertiary - Vocational education (including TAFE and private training providers),Health,5,467975.704,5892813.801
20-24 years,Female,Wangaratta,Tertiary - Vocational education (including TAFE and private training providers),Education,3,428896.352,5957896.057
20-24 years,Female,Wangaratta,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6,451179.033,6003745.802
20-24 years,Female,Wangaratta,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,9,437703.209,5927595.702
20-24 years,Female,Wangaratta,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,456254.42,5965719.138
20-24 years,Female,Wangaratta,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,37,429400.209,5954712.845
20-24 years,Female,Wangaratta,Tertiary - University or other higher education,Natural and Physical Sciences,7,440385.595,5994468.663
20-24 years,Female,Wangaratta,Tertiary - University or other higher education,Health,18,440385.595,5987218.567
20-24 years,Female,Wangaratta,Tertiary - University or other higher education,Creative Arts,4,450543.739,5994361.221
20-24 years,Female,Wangaratta,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6,451433.221,5963343.312
20-24 years,Female,Wangaratta,Tertiary - University or other higher education,Field of study not stated,4,456785.638,5906942.285
20-24 years,Female,Wangaratta,Tertiary - University or other higher education,Not applicable,63,455349.801,5922221.363
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,104828.977,5748591.286
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Health,8,114122.054,5743548.694
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Education,7,109133.281,5749487.161
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,11,100938.15,5743913.463
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,10,116518.464,5743551.466
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5,105909.164,5741402.998
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",15,107940.108,5743833.659
20-24 years,Female,Warrnambool,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,64,115507.295,5740390.46
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,Natural and Physical Sciences,7,100628.341,5748340.664
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",6,115288.508,5743708.582
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,Health,11,103033.728,5739711.88
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,Education,14,115288.508,5748006.711
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,Management and Commerce,19,106611.413,5744665.836
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,Society and Culture,5,109041.262,5740390.46
20-24 years,Female,Warrnambool,Tertiary - University or other higher education,Creative Arts,4,108756.502,5749646.76
